continent,year,problem_num,mean_score
Asia,1984,p1,4.933333333333334
Asia,1984,p2,4.333333333333334
Asia,1984,p3,2.5666666666666664
Asia,1984,p4,4.933333333333333
Asia,1984,p5,3.933333333333333
Asia,1984,p6,3.066666666666667
Asia,1985,p1,4.681818181818183
Asia,1985,p2,3.863636363636362
Asia,1985,p3,0.863636363636364
Asia,1985,p4,2.2045454545454555
Asia,1985,p5,1.9772727272727277
Asia,1985,p6,1.818181818181819
Asia,1986,p1,4.531914893617022
Asia,1986,p2,4.468085106382978
Asia,1986,p3,1.4255319148936163
Asia,1986,p4,3.4680851063829783
Asia,1986,p5,4.51063829787234
Asia,1986,p6,2.3191489361702122
Asia,1987,p1,4
Asia,1987,p2,5.395833333333333
Asia,1987,p3,2.208333333333332
Asia,1987,p4,3.75
Asia,1987,p5,5.020833333333332
Asia,1987,p6,2.479166666666668
Asia,1988,p1,4.219178082191783
Asia,1988,p2,3.684931506849317
Asia,1988,p3,1.808219178082193
Asia,1988,p4,3.2465753424657566
Asia,1988,p5,3.876712328767121
Asia,1988,p6,0.9178082191780828
Asia,1989,p1,3.122222222222224
Asia,1989,p2,4.655555555555557
Asia,1989,p3,1.8111111111111098
Asia,1989,p4,4.344444444444443
Asia,1989,p5,3.833333333333334
Asia,1989,p6,2.933333333333332
Asia,1990,p1,3.1525423728813555
Asia,1990,p2,3.1440677966101664
Asia,1990,p3,2.110169491525422
Asia,1990,p4,2.872881355932202
Asia,1990,p5,3.796610169491525
Asia,1990,p6,1.4576271186440666
Asia,1991,p1,4.350000000000002
Asia,1991,p2,4.279999999999999
Asia,1991,p3,2.589999999999997
Asia,1991,p4,2.899999999999997
Asia,1991,p5,4.270000000000003
Asia,1991,p6,1.9600000000000029
Asia,1992,p1,4.136752136752137
Asia,1992,p2,3.2649572649572667
Asia,1992,p3,1.8717948717948703
Asia,1992,p4,4.299145299145301
Asia,1992,p5,0.8803418803418799
Asia,1992,p6,2.47863247863248
Asia,1993,p1,2.2450331125827865
Asia,1993,p2,2.3509933774834413
Asia,1993,p3,1.1125827814569558
Asia,1993,p4,2.569536423841061
Asia,1993,p5,3.225165562913911
Asia,1993,p6,1.8278145695364212
Asia,1994,p1,2.8467741935483892
Asia,1994,p2,5.5
Asia,1994,p3,4.056451612903222
Asia,1994,p4,3.8387096774193523
Asia,1994,p5,3.322580645161288
Asia,1994,p6,2.016129032258065
Asia,1995,p1,5.111940298507462
Asia,1995,p2,2.84328358208955
Asia,1995,p3,3.313432835820899
Asia,1995,p4,4.5
Asia,1995,p5,4.201492537313432
Asia,1995,p6,1.2164179104477624
Asia,1996,p1,2.8851351351351386
Asia,1996,p2,2.770270270270272
Asia,1996,p3,2.3378378378378373
Asia,1996,p4,2.25
Asia,1996,p5,0.554054054054055
Asia,1996,p6,2.22972972972973
Asia,1997,p1,2.753623188405797
Asia,1997,p2,4.891304347826083
Asia,1997,p3,2.1884057971014466
Asia,1997,p4,3.572463768115944
Asia,1997,p5,4.021739130434783
Asia,1997,p6,1.1521739130434774
Asia,1998,p1,3.6692307692307713
Asia,1998,p2,3.053846153846155
Asia,1998,p3,1.8538461538461524
Asia,1998,p4,4.146153846153844
Asia,1998,p5,3.307692307692306
Asia,1998,p6,0.8615384615384634
Asia,1999,p1,4.369863013698628
Asia,1999,p2,2.246575342465758
Asia,1999,p3,1.4452054794520535
Asia,1999,p4,3.4794520547945202
Asia,1999,p5,2.2739726027397245
Asia,1999,p6,1.178082191780821
Asia,2000,p1,4.815068493150686
Asia,2000,p2,3.739726027397261
Asia,2000,p3,0.8630136986301389
Asia,2000,p4,3.4657534246575334
Asia,2000,p5,2.506849315068488
Asia,2000,p6,1.3972602739726006
Asia,2001,p1,4.322368421052633
Asia,2001,p2,2.5921052631578974
Asia,2001,p3,1.0065789473684228
Asia,2001,p4,3.75
Asia,2001,p5,3.3815789473684186
Asia,2001,p6,1.2302631578947347
Asia,2002,p1,3.6193548387096737
Asia,2002,p2,4.464516129032255
Asia,2002,p3,0.9225806451612909
Asia,2002,p4,4.348387096774196
Asia,2002,p5,2.9483870967741965
Asia,2002,p6,0.4645161290322594
Asia,2003,p1,3.6013071895424806
Asia,2003,p2,2.8431372549019605
Asia,2003,p3,0.48366013071895553
Asia,2003,p4,5.411764705882356
Asia,2003,p5,2.4379084967320273
Asia,2003,p6,0.9477124183006533
Asia,2004,p1,4.916167664670658
Asia,2004,p2,3.251497005988021
Asia,2004,p3,1.1137724550898216
Asia,2004,p4,4.598802395209578
Asia,2004,p5,2.9580838323353285
Asia,2004,p6,1.7485029940119787
Asia,2005,p1,2.8674698795180755
Asia,2005,p2,3.2771084337349343
Asia,2005,p3,1.4036144578313263
Asia,2005,p4,4.1566265060240895
Asia,2005,p5,2.74698795180723
Asia,2005,p6,1.7831325301204848
Asia,2006,p1,5.563636363636364
Asia,2006,p2,2.018181818181816
Asia,2006,p3,1.2121212121212097
Asia,2006,p4,5.454545454545453
Asia,2006,p5,1.5212121212121241
Asia,2006,p6,0.2969696969696971
Asia,2007,p1,3.4032258064516108
Asia,2007,p2,3.392473118279564
Asia,2007,p3,0.4032258064516118
Asia,2007,p4,5.854838709677419
Asia,2007,p5,2.5161290322580587
Asia,2007,p6,0.13440860215053757
Asia,2008,p1,5.232804232804236
Asia,2008,p2,3.4920634920634903
Asia,2008,p3,1.3280423280423272
Asia,2008,p4,4.603174603174599
Asia,2008,p5,2.3121693121693085
Asia,2008,p6,0.3015873015873019
Asia,2009,p1,4.782383419689115
Asia,2009,p2,4.507772020725392
Asia,2009,p3,1.4455958549222783
Asia,2009,p4,3.8911917098445645
Asia,2009,p5,3.0673575129533623
Asia,2009,p6,0.30569948186528567
Asia,2010,p1,5.356756756756757
Asia,2010,p2,3.594594594594601
Asia,2010,p3,0.7621621621621648
Asia,2010,p4,5.935135135135131
Asia,2010,p5,0.6972972972972977
Asia,2010,p6,0.4216216216216231
Asia,2011,p1,5.520408163265309
Asia,2011,p2,0.6326530612244913
Asia,2011,p3,1.6632653061224507
Asia,2011,p4,4.08163265306122
Asia,2011,p5,3.9132653061224536
Asia,2011,p6,0.5765306122448988
Asia,2012,p1,6.120879120879118
Asia,2012,p2,3.340659340659347
Asia,2012,p3,0.543956043956044
Asia,2012,p4,4.280219780219784
Asia,2012,p5,2.780219780219787
Asia,2012,p6,0.5659340659340661
Asia,2013,p1,5.108571428571432
Asia,2013,p2,3.239999999999997
Asia,2013,p3,1.4571428571428584
Asia,2013,p4,6.462857142857141
Asia,2013,p5,3.462857142857148
Asia,2013,p6,0.5085714285714282
Asia,2014,p1,6.211111111111113
Asia,2014,p2,3.73333333333334
Asia,2014,p3,0.9666666666666653
Asia,2014,p4,6.277777777777779
Asia,2014,p5,2.427777777777778
Asia,2014,p6,0.566666666666666
Asia,2015,p1,4.690355329949244
Asia,2015,p2,1.8832487309644663
Asia,2015,p3,0.939086294416245
Asia,2015,p4,5.898477157360408
Asia,2015,p5,1.9847715736040583
Asia,2015,p6,0.5482233502538075
Asia,2016,p1,5.748837209302322
Asia,2016,p2,2.6325581395348787
Asia,2016,p3,0.42790697674418815
Asia,2016,p4,5.213953488372097
Asia,2016,p5,2.423255813953488
Asia,2016,p6,1.1581395348837236
Asia,2017,p1,5.893719806763288
Asia,2017,p2,3.004830917874399
Asia,2017,p3,0.038647342995168976
Asia,2017,p4,5.855072463768116
Asia,2017,p5,1.2946859903381625
Asia,2017,p6,0.5845410628019325
Asia,2018,p1,5.6425120772946835
Asia,2018,p2,3.7826086956521667
Asia,2018,p3,0.4154589371980676
Asia,2018,p4,4.043478260869567
Asia,2018,p5,3.193236714975842
Asia,2018,p6,0.8743961352657021
Asia,2019,p1,5.515837104072395
Asia,2019,p2,3.2579185520362057
Asia,2019,p3,0.823529411764704
Asia,2019,p4,4.443438914027151
Asia,2019,p5,3.886877828054292
Asia,2019,p6,0.6787330316742064
Asia,2020,p1,5.887254901960786
Asia,2020,p2,2.720588235294119
Asia,2020,p3,1.2254901960784352
Asia,2020,p4,4.176470588235289
Asia,2020,p5,3.382352941176476
Asia,2020,p6,0.3823529411764702
Asia,2021,p1,5.068965517241384
Asia,2021,p2,0.5763546798029549
Asia,2021,p3,0.7142857142857137
Asia,2021,p4,5.064039408866999
Asia,2021,p5,2.5615763546798047
Asia,2021,p6,0.8078817733990126
Asia,2022,p1,5.703125
Asia,2022,p2,4.833333333333329
Asia,2022,p3,1.1510416666666645
Asia,2022,p4,6.020833333333336
